TIP,Cab,Taxi,Waiter,Restaurant,Money
HIDDEN,Secret,Stow,Bury,Away,See
SHORT,Stop,Skirt,Turn,Jokes,Stock
SHOP,Food,Toys,Milk,Bread,Juice
TULIPS,Holland,Flower,Poem,Bud,Bouquet
WREATH,Round,Green,Christmas,Holly,Hang
HEAT,Fire,Burn,Radiate,Gas,Cold
TANGIBLE,Real,Concrete,Objective,Substantial,TRUE
ELEPHANT,Stupid,Clever,Invalid,Highest,Smallest
WEEDING,Bride,Groom,Dress,Bouquet,Church
POLE,Electricity,Wood,Long,Log,Fishing
NONE,Zip,Zero,Nothing,No,Nope
CONFIRM,Verify,Ascertain,Agree,Hearing,Yes
SPORTSCASTER,Tv,Reporter,Microphone,Animated,Smile
NOTES,Paper,Music,Song,Dance,School
DRUM,Band,Loud,Set,Indian,Beat
LATKE,Potato,Oil,Fry,Chanukah,Eat
HEY,Call,Me,On,This,Number
COFFIN,Dead,Vampires,Tombstone,Graveyard,Sleep
COWBOYS,Gun,Belt,Horse,Boots,Hat
TEMPERATURE,Hot,Cold,Weather,Outside,Degrees
AMBASSADOR,Representative,Country,Government,Leader,Embassy
NOODLES,Yellow,Pasta,Chinese,Fried,Soup
SWITCH,Whip,Light,Swap,Change,Flick
DEVELOP,Generate,Produce,Evolve,Unfold,Create
CAMERA,Shy,Snap,Shot,Film,Digital
ANESTHESIOLOGY,Study,Dressing,Operation,Injection,Sedative
DIAPERS,Stinky,White,Butt,Pee,Poop
NINCOMPOOP,Silly,Stupid,Dumb,Foolish,Unintelligent
SASHIMI,Sushi,Japan,Asian,Food,Raw
ALPHA,Beta,Gamma,Symbols,Rays,Greek
ATLANTIS,Lost,City,Ocean,Legend,Water
SOCK,Foot,Shoe,Clothing,Wool,Hit
RICE,Cooker,Grain,White,Asian,Fried
SPRAY,Body,Smell,Water,Perfume,Cleaner
JEANS,Blue,Black,Pants,Trouser,Dress
WELL,Good,Firm,Strong,Reliable,Best
CHEESE,Swiss,Melt,Dairy,Sharp,Cheddar
DETAIL,Attention,Minute,Exact,Perfect,Little
PROVINCE,Area,Domain,Orbit,Field,Realm
TRIAL,Law,Game,Bike,Usa,Software
SABBATH,Black,Sunday,Saturday,Church,Jesus
UNDERWEAR,But,Body,Cloth,Swimsuit,Pants
RADIO,Signal,Channel,Waves,Station,Music
GIFT,Present,Christmas,Birthday,Open,Give
ONOMATOPOEIA,Sound,Word,Like,Device,Bang
EQUAL,Even,Draw,Match,Sports,Teams
HYPOTHESIS,Theory,Question,Research,Scientist,Null
TRINKET,Knickknack,Whatnot,Toy,Gewgaw,Novelty
BARBECUE,Grill,Outdoor,Backyard,Weber,Meat
AORTA,Artery,Vein,Blood,Heart,Chest
UNITED,Airlines,States,Arms,Nations,Press
PHARMACIST,Chemist,Drugs,Prescription,Dispense,Profession
POSE,Model,Photo,Magazine,Shoot,Famous
DUVET,Soft,Warm,Bed,Large,Sleep
SUPERHEROES,Spiderman,Superman,Batman,Hulk,Thing
GIRLS,Cooties,Pink,Gender,Female,Boys
MOVE,Relocate,Maneuver,Remove,Shift,Transfer
INDEFINITE,Open,Uncertain,Undecided,Vague,Unsure
ASSASSIN,Game,Creed,Kill,Ninja,Murder
DIP,Swim,Try,Ditch,Submerge,Dab
NEMO,Clown,Fish,Dorey,Finding,Ocean
DEVIL,Hell,Evil,Bad,Hades,Witch
BUDDY,Dog,Friend,Mutt,Holiday,Pet
ATOLL,Tropical,Desolate,Island,Sand,Ocean
LODGE,Embed,Entrench,Fasten,Fix,Root
FINGER,Body,Point,Nails,Five,Leg
SISTER,Brother,Father,Mother,Sibling,Parent
CARROT,Orange,Rabbit,Vegetable,Bite,Food
GENERATE,Bring,Effect,Secure,Make,Trigger
ALLERGY,Sneeze,Cough,Pollen,Spring,Season
NOSEBLEED,Red,Punch,Face,Nostril,Blood
STUPID,Dumb,Idiot,Ugly,Smart,Intelligent
MODULATE,Change,Key,Different,Adjust,Alter
HURRICANE,Gilbert,Wind,Rain,Caribbean,Damage
COLORADO,Denver,Mountains,Skiing,Snow,Boulder
SPIGOT,Sink,Faucet,Water,Hose,Spray
BREADS,Corn,Rye,White,Wheat,Sourdough
SEVEN,Eight,Six,Number,Nine,Five
FIX,Repair,Accident,Handyman,Tools,Screwdrivers
VAMPIRE,Bat,Blood,Fangs,Movies,Books
STRAIGHTEN,Spruce,Tidy,Clean,Neaten,Clear
MUTTON,Goat,Meat,Lamb,Joint,Gamey
ILLUSTRATE,Show,Teach,Look,Classroom,Art
DRY,Arid,Bone,Drought,Dehydrate,Wither
PARTICLES,Atom,Everything,Science,Make,Universe
SEASHELL,Beach,Sand,Necklace,Ocean,Crab
TREND,Fashion,Style,Copy,Imitate,Catch
DAUGHTER,Birth,Brother,Son,Mom,Family
BORING,Bored,Boredom,Math,Civics,Teachers
BROWN,University,Bear,Dan,County,Hotel
UNCLEAN,Soiled,Dirty,Filthy,Grubby,Smutty
DENTIST,Teeth,Provider,Cleaning,Exam,Oral
SHOULDER,Body,Part,Head,Arms,Carry
COCAINE,Drugs,Heroin,Pot,Weed,High
COOKIE,Crunchy,Round,Chocolate,Nuts,Oatmeal
AUSSIES,Beach,Sun,Island,Aborigines,Shrimp
